name,price,date,rating
北京,60064,2019,-0.13
深圳,54161,2019,+0.64
上海,50139,2019,+0.03
厦门,45635,2019,+1.68
广州,32149,2019,+0.2
三亚,29429,2019,+0.36
南京,28729,2019,-0.16
杭州,28543,2019,+0.43
福州,25129,2019,-0.23
天津,22253,2019,-0.04
珠海,21201,2019,+0.26
宁波,21121,2019,+0.3
义乌,19952,2019,+0.29
温州,19496,2019,+0.04
苏州,18523,2019,+1.08
青岛,18005,2019,-0.19
济南,17260,2019,-0.36
瑞安,17250,2019,-0.12
武汉,17214,2019,-0.03
舟山,16640,2019,-0.15
金华,16090,2019,+0.16
石家庄,15837,2019,+0.05
东莞,15605,2019,+0.35
昆山,15512,2019,+4.67
海口,15011,2019,+0.41
绍兴,14762,2019,+0.13
廊坊,14635,2019,-0.04
合肥,14291,2019,-0.04
常州,13947,2019,+0.43
台州,13902,2019,+0.38
郑州,13806,2019,+0.02
正定,13742,2019,0.0
成都,13494,2019,-0.25
衢州,13447,2019,+0.19
大连,13432,2019,+4.78
扬州,12705,2019,+0.18
大理,12615,2019,+0.71
西安,12568,2019,+0.12
昆明,12496,2019,+0.2
漳州,12465,2019,+0.34
南昌,12395,2019,+0.16
莆田,12393,2019,-0.26
无锡,12342,2019,+4.42
佛山,12338,2019,+4.71
兰州,12205,2019,+0.42
南通,12171,2019,+0.12
太原,12094,2019,+0.09
乐清,12020,2019,-0.72
重庆,11992,2019,+0.18
拉萨,11805,2019,+0.09
鹤岗,1726,2019,+1.86
双鸭山,2835,2019,-0.21
石嘴山,2906,2019,-0.01
七台河,3345,2019,+1.04
大兴安岭,3347,2019,-0.35
张掖,3502,2019,+0.27
阜新,3675,2019,+0.27
朔州,3705,2019,+0.03
阿克苏,3727,2019,+0.04
巴音郭楞,3737,2019,-0.06
绥化,3767,2019,-0.02
哈密,3771,2019,+0.12
鸡西,3826,2019,-0.02
博尔塔拉,3905,2019,+0.1
黑河,3934,2019,+0.02
铁岭,3941,2019,-0.14
中卫,4036,2019,+0.07
盘锦,4102,2019,+0.3
白山,4108,2019,-0.04
和县,4183,2019,+1.08
呼伦贝尔,4200,2019,+1.12
黔西南,4231,2019,-0.15
五家渠,4254,2019,+0.26
嘉峪关,4320,2019,+0.54
阳泉,4343,2019,+0.11
鞍山,4372,2019,+0.02
金昌,4380,2019,-0.17
固原,4395,2019,-0.02
咸宁,4425,2019,-0.23
吴忠,4438,2019,+0.23
钦州,4489,2019,+0.25
来宾,4541,2019,-0.47
佳木斯,4550,2019,+0.21
松原,4559,2019,-0.11
抚顺,4571,2019,+0.05
辽源,4585,2019,+0.2
海拉尔,4599,2019,-0.48
朝阳,4608,2019,+0.36
吕梁,4626,2019,+0.42
营口,4648,2019,+0.31
河池,4694,2019,+0.04
百色,4694,2019,+0.09
辽阳,4701,2019,-0.15
禹州,4716,2019,-0.07
伊春,4719,2019,+0.01
商洛,4741,2019,0.0
焦作,4748,2019,+0.44
锡林郭勒盟,4774,2019,-0.16
克拉玛依,4788,2019,+0.02
毕节,4789,2019,-0.18
北京,24733,2010,+0.81
上海,22491,2010,+1.68
杭州,21858,2010,+0.66
深圳,16645,2010,+3.33
青岛,15651,2010,+8.89
南京,14107,2010,+0.55
广州,12944,2010,+4.28
天津,12396,2010,+1.25
大连,10934,2010,+1.33
苏州,8943,2010,+1.01
成都,8035,2010,+2.19
济南,7940,2010,+1.68
无锡,7589,2010,+1.46
西安,7184,2010,-3.45
武汉,6905,2010,+2.07
石家庄,6458,2010,+3.91
长沙,6172,2010,+4.45
重庆,6016,2010,+3.46
佛山,5949,2010,+1.4
郑州,5743,2010,+2.55
郑州,5743,2010,+2.55
佛山,5949,2010,+1.4
重庆,6016,2010,+3.46
长沙,6172,2010,+4.45
石家庄,6458,2010,+3.91
武汉,6905,2010,+2.07
西安,7184,2010,-3.45
无锡,7589,2010,+1.46
济南,7940,2010,+1.68
成都,8035,2010,+2.19
苏州,8943,2010,+1.01
大连,10934,2010,+1.33
天津,12396,2010,+1.25
广州,12944,2010,+4.28
南京,14107,2010,+0.55
青岛,15651,2010,+8.89
深圳,16645,2010,+3.33
杭州,21858,2010,+0.66
上海,22491,2010,+1.68
北京,24733,2010,+0.81
北京,25166,2011,-1.69
上海,22665,2011,-2.68
杭州,19721,2011,-3.95
厦门,17538,2011,-5.5
深圳,17428,2011,-3.27
三亚,16243,2011,+0.93
宁波,15458,2011,-1.58
广州,14762,2011,+0.58
南京,14442,2011,-1.24
青岛,12752,2011,-0.31
天津,12732,2011,-1.7
大连,11115,2011,-1.34
福州,11031,2011,-2.69
珠海,10764,2011,-9.73
苏州,10000,2011,0.0
南通,9986,2011,+0.15
绍兴,9642,2011,-5
昆明,8842,2011,-1.34
济南,8576,2011,-1.39
泉州,8527,2011,-1.55
成都,8477,2011,-0.99
兰州,8347,2011,-0.68
扬州,8275,2011,+0.18
沈阳,8105,2011,+0.42
海口,8076,2011,-1.95
武汉,7854,2011,-0.46
秦皇岛,7820,2011,+0.03
泰州,7777,2011,0.0
唐山,7703,2011,-0.31
南昌,7640,2011,-4.14
常州,7638,2011,+0.35
烟台,7633,2011,-0.2
廊坊,7565,2011,-0.46
哈尔滨,7527,2011,+0.15
无锡,7477,2011,-2.15
南宁,7434,2011,-0.88
太原,7374,2011,-0.45
